TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/06/01
TIME	12:24:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-750, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	800
LASTX	200
NPOINTS	601
FIRSTY	0.857435
MAXY	1.24188
MINY	-1.19018
XYDATA
800	0.857435
799	0.860432
798	0.86338
797	0.866166
796	0.869373
795	0.872227
794	0.87509
793	0.878132
792	0.88125
791	0.884144
790	0.887373
789	0.890439
788	0.893673
787	0.896436
786	0.899595
785	0.902669
784	0.905803
783	0.908532
782	0.911569
781	0.914636
780	0.917894
779	0.921057
778	0.924054
777	0.927389
776	0.930681
775	0.934355
774	0.936964
773	0.94022
772	0.943248
771	0.946597
770	0.950152
769	0.953192
768	0.956681
767	0.959953
766	0.963188
765	0.966826
764	0.970158
763	0.973613
762	0.976805
761	0.980147
760	0.983815
759	0.986999
758	0.990614
757	0.993951
756	0.998111
755	1.00158
754	1.00457
753	1.00832
752	1.01208
751	1.01583
750	1.01939
749	1.02295
748	1.02698
747	1.03009
746	1.03378
745	1.03768
744	1.04138
743	1.04492
742	1.04829
741	1.05197
740	1.05656
739	1.06007
738	1.06349
737	1.06691
736	1.07058
735	1.07415
734	1.07746
733	1.08132
732	1.08484
731	1.0881
730	1.09152
729	1.09442
728	1.09833
727	1.10237
726	1.10534
725	1.10849
724	1.11147
723	1.11507
722	1.11917
721	1.12264
720	1.12521
719	1.12771
718	1.13129
717	1.13543
716	1.1385
715	1.14126
714	1.14381
713	1.1473
712	1.14975
711	1.15316
710	1.1555
709	1.159
708	1.16213
707	1.16565
706	1.16921
705	1.17189
704	1.17524
703	1.17837
702	1.18206
701	1.18485
700	1.18747
699	1.19
698	1.19185
697	1.19337
696	1.19365
695	1.19294
694	1.19137
693	1.18896
692	1.18638
691	1.1834
690	1.18077
689	1.17876
688	1.17741
687	1.17717
686	1.17722
685	1.17863
684	1.18156
683	1.18454
682	1.18741
681	1.18787
680	1.19116
679	1.19939
678	1.21007
677	1.21753
676	1.21965
675	1.21921
674	1.21959
673	1.2205
672	1.22126
671	1.22089
670	1.221
669	1.22149
668	1.22323
667	1.22496
666	1.22624
665	1.22699
664	1.22752
663	1.22738
662	1.22757
661	1.22768
660	1.22937
659	1.23106
658	1.23205
657	1.23171
656	1.23123
655	1.23126
654	1.2327
653	1.23405
652	1.23425
651	1.23427
650	1.23433
649	1.23468
648	1.23499
647	1.23547
646	1.23593
645	1.23649
644	1.23653
643	1.23657
642	1.2372
641	1.23767
640	1.23845
639	1.23757
638	1.23725
637	1.2367
636	1.23789
635	1.23842
634	1.23932
633	1.23983
632	1.23996
631	1.24002
630	1.24025
629	1.24032
628	1.24056
627	1.24003
626	1.23975
625	1.23871
624	1.239
623	1.23853
622	1.23824
621	1.23732
620	1.23817
619	1.23833
618	1.23822
617	1.23809
616	1.23822
615	1.23865
614	1.2392
613	1.23967
612	1.23943
611	1.23858
610	1.23763
609	1.23734
608	1.23821
607	1.24014
606	1.24143
605	1.24188
604	1.24089
603	1.24031
602	1.23946
601	1.23857
600	1.23871
599	1.23881
598	1.2394
597	1.239
596	1.23906
595	1.2388
594	1.23874
593	1.23836
592	1.23749
591	1.2374
590	1.23795
589	1.23776
588	1.23863
587	1.23782
586	1.23854
585	1.23855
584	1.23874
583	1.23865
582	1.23821
581	1.23763
580	1.23725
579	1.23768
578	1.23756
577	1.23757
576	1.23675
575	1.23664
574	1.23679
573	1.23688
572	1.23733
571	1.23753
570	1.23725
569	1.23633
568	1.2357
567	1.23606
566	1.23611
565	1.23622
564	1.23606
563	1.23543
562	1.23449
561	1.23511
560	1.23579
559	1.23616
558	1.23583
557	1.23576
556	1.23575
555	1.23553
554	1.23571
553	1.23558
552	1.23477
551	1.23393
550	1.23384
549	1.23449
548	1.2346
547	1.23444
546	1.23333
545	1.23323
544	1.23341
543	1.23413
542	1.2342
541	1.23341
540	1.23362
539	1.23376
538	1.23414
537	1.23357
536	1.23299
535	1.23292
534	1.23314
533	1.23306
532	1.23268
531	1.23296
