Temperature_C,Transmittance_400nm,Transmittance_500nm,Transmittance_600nm
15.0,98.54,98.91,99.09
15.5,98.62,98.89,99.00
16.0,98.57,98.78,98.91
16.5,98.45,98.69,98.91
17.0,98.38,98.71,99.00
17.5,98.43,98.82,99.09
18.0,98.55,98.91,99.09
18.5,98.62,98.89,99.00
19.0,98.57,98.78,98.91
19.5,98.45,98.69,98.91
20.0,98.38,98.71,99.00
20.5,98.43,98.82,99.09
21.0,98.55,98.91,99.09
21.5,98.62,98.89,99.00
22.0,98.57,98.78,98.91
22.5,98.45,98.68,98.91
23.0,98.37,98.70,99.00
23.5,98.42,98.81,99.08
24.0,98.53,98.90,99.07
24.5,98.59,98.87,98.98
25.0,98.53,98.74,98.87
25.5,98.38,98.62,98.84
26.0,98.28,98.59,98.86
26.5,98.27,98.62,98.82
27.0,98.31,98.57,98.57
27.5,98.23,98.29,98.01
28.0,97.96,97.75,97.04
28.5,97.50,96.92,95.39
29.0,96.92,95.69,92.47
29.5,96.17,93.73,87.32
30.0,95.09,90.46,78.84
30.5,93.38,85.23,66.58
31.0,90.76,77.60,51.66
31.5,87.12,67.66,36.83
32.0,82.48,56.31,24.75
32.5,77.02,45.05,16.36
33.0,71.06,35.29,11.12
33.5,65.03,27.75,8.02
34.0,59.46,22.43,6.28
34.5,54.77,18.98,5.41
35.0,51.18,16.93,5.03
35.5,48.68,15.80,4.86
36.0,47.02,15.14,4.72
36.5,45.88,14.68,4.56
37.0,45.02,14.31,4.45
37.5,44.38,14.08,4.44
38.0,43.98,14.03,4.52
38.5,43.83,14.10,4.60
39.0,43.81,14.15,4.58
39.5,43.78,14.11,4.49
40.0,43.66,13.98,4.41
40.5,43.50,13.89,4.42
41.0,43.42,13.92,4.51
41.5,43.47,14.04,4.59
42.0,43.58,14.12,4.58
42.5,43.63,14.08,4.49
43.0,43.56,13.97,4.41
43.5,43.44,13.88,4.42
44.0,43.38,13.92,4.52
44.5,43.44,14.04,4.59
45.0,43.56,14.12,4.58
45.5,43.62,14.08,4.48
46.0,43.56,13.96,4.41
46.5,43.44,13.88,4.42
47.0,43.38,13.92,4.52
47.5,43.44,14.04,4.59
48.0,43.56,14.12,4.58
48.5,43.62,14.08,4.48
49.0,43.55,13.96,4.41
49.5,43.43,13.88,4.42
50.0,43.38,13.92,4.52
50.5,43.45,14.04,4.59
51.0,43.57,14.12,4.58
51.5,43.62,14.08,4.48
52.0,43.55,13.96,4.41
52.5,43.43,13.88,4.43
53.0,43.38,13.92,4.52
53.5,43.45,14.04,4.59
54.0,43.57,14.12,4.57
54.5,43.62,14.08,4.48
55.0,43.55,13.96,4.40
55.5,43.43,13.88,4.43
56.0,43.38,13.92,4.52
56.5,43.45,14.04,4.60
57.0,43.57,14.12,4.57
57.5,43.62,14.07,4.48
58.0,43.55,13.96,4.40
58.5,43.43,13.88,4.43
59.0,43.38,13.93,4.52
59.5,43.45,14.05,4.60
60.0,43.57,14.12,4.57
60.5,43.62,14.07,4.48
61.0,43.55,13.95,4.40
61.5,43.43,13.88,4.43
62.0,43.38,13.93,4.53
62.5,43.45,14.05,4.60
63.0,43.57,14.12,4.57
63.5,43.62,14.07,4.47
64.0,43.55,13.95,4.40
64.5,43.43,13.88,4.43
65.0,43.38,13.93,4.53
